permalink,collection,id,loc,uuid,artist,year,location,description,imageLink
https://digitalcollections.nypl.org/items/510d47de-8729-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1212144,,ab1f1840-c612-012f-3660-58d385a7bc34,"Lee, Russell",1941,"South Side Chicago, Illinois",Woman launders clothes in Chicago apartment,https://images.nypl.org/index.php?id=1212144&t=w
https://digitalcollections.nypl.org/items/510d47df-1f2d-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216585,,78009f80-c6da-012f-cf07-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a high school teacher wearing broach and hair comb,https://images.nypl.org/index.php?id=1216585&t=w
https://digitalcollections.nypl.org/items/510d47de-1ce8-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1210432,,454b6580-c6bb-012f-95b5-3c075448cc4b,"Washington, Booker T.",1906,"Tuskegee, Alabama",Woman from Tuskegee Institute demonstrates how to set a table,https://images.nypl.org/index.php?id=1210432&t=w
https://digitalcollections.nypl.org/items/510d47e2-ed3e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,05schaw,,6f6c7a20-c6b6-012f-94ec-58d385a7bc34,,1880-1889,,Portrait of woman in black lace dress,https://images.nypl.org/index.php?id=05schaw&t=w
https://digitalcollections.nypl.org/items/6bdb1562-818b-8f7e-e040-e00a18067399,Schomburg Center for Research in Black Culture,1702768,,409f6160-c6d1-012f-d5b3-58d385a7bc34,,1900-1935,"Mound Bayou, Mississippi",Telephone operator,https://images.nypl.org/index.php?id=1702768&t=w
https://digitalcollections.nypl.org/items/1292ebb0-3bc8-0134-6c19-00505686a51c,Schomburg Center for Research in Black Culture,56806342,,fc0cadc0-3b16-0134-2fe3-00505686a51c,,1935-1943,,Portrait of woman in floral costume,https://images.nypl.org/index.php?id=56806342&t=w
https://digitalcollections.nypl.org/items/510d47df-f9c8-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260279,,ae87ea20-c645-012f-8c54-58d385a7bc34,,1948,"Tokyo, Japan",Woman poses with Japanese doll in Tokyo,https://images.nypl.org/index.php?id=1260279&t=w
https://digitalcollections.nypl.org/items/510d47e1-cdce-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,59SCCDV,,c7021a60-c6ca-012f-cd71-58d385a7bc34,"Morse, George Daniels",1880-1889,"San Francisco, California",Portrait of a woman wearing glasses and cross earrings,https://images.nypl.org/index.php?id=59SCCDV&t=w
https://digitalcollections.nypl.org/items/510d47df-1f56-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216626,,f9722f20-c6da-012f-6c1e-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a girl with long hair in a white blouse,https://images.nypl.org/index.php?id=1216626&t=w
https://digitalcollections.nypl.org/items/510d47e1-cdc3-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,49SCCDV,,c30fbab0-c6ca-012f-305c-58d385a7bc34,"Bill, C.K.",1860,,Portrait of a woman holding a bonnet,https://images.nypl.org/index.php?id=49SCCDV&t=w
https://digitalcollections.nypl.org/items/510d47e1-fd15-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,03SCCAB,,071b57b0-c6e0-012f-a107-58d385a7bc34,,1875,,Portrait of a woman wearing a hat and bustle,https://images.nypl.org/index.php?id=03SCCAB&t=w
https://digitalcollections.nypl.org/items/510d47e1-fd21-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,16SCCAB,,0ce634c0-c6e0-012f-54b5-58d385a7bc34,"Benjamin, O.C.",1880,New Jersey,Portrait of a woman wearing a velvet coat,https://images.nypl.org/index.php?id=16SCCAB&t=w
https://digitalcollections.nypl.org/items/510d47e1-fd2c-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,28SCCAB,,12bafc10-c6e0-012f-15a5-58d385a7bc34,Stanton & Burdick,1880,"Los Angeles, California",Portrait of a young woman,https://images.nypl.org/index.php?id=28SCCAB&t=w
https://digitalcollections.nypl.org/items/510d47e1-fd20-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,15SCCAB,,0c738550-c6e0-012f-192e-58d385a7bc34,Columbian Galleries,1890,"New York, New York",Portrait of woman wearing lace bodice,https://images.nypl.org/index.php?id=15SCCAB&t=w
https://digitalcollections.nypl.org/items/510d47df-1f5a-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1216630,,05b81060-c6db-012f-61f5-3c075448cc4b,,1916,"Philadelphia, Pensylvania",Portrait of a woman in a striped dress,https://images.nypl.org/index.php?id=1216630&t=w
